Time,PPG
12.5848213333333,-0.75432
12.5856213333333,-0.76783
12.5864213333333,-0.78132
12.5872213333333,-0.7948
12.5880213333333,-0.80825
12.5888213333333,-0.82169
12.5896213333333,-0.8351
12.5904213333333,-0.84849
12.5912213333333,-0.86185
12.5920213333333,-0.87518
12.5928213333333,-0.88849
12.5936213333333,-0.90177
12.5944213333333,-0.91502
12.5952213333333,-0.92825
12.5960213333333,-0.94144
12.5968213333333,-0.9546
12.5976213333333,-0.96774
12.5984213333333,-0.98085
12.5992213333333,-0.99393
12.6000213333333,-1.007
12.6008213333333,-1.02004
12.6016213333333,-1.03307
12.6024213333333,-1.04608
12.6032213333333,-1.05908
12.6040213333333,-1.07208
12.6048213333333,-1.08508
12.6056213333333,-1.09807
12.6064213333333,-1.11106
12.6072213333333,-1.12407
12.6080213333333,-1.13707
12.6088213333333,-1.15009
12.6096213333333,-1.16312
12.6104213333333,-1.17617
12.6112213333333,-1.18923
12.6120213333333,-1.20231
12.6128213333333,-1.2154
12.6136213333333,-1.22851
12.6144213333333,-1.24165
12.6152213333333,-1.25479
12.6160213333333,-1.26796
12.6168213333333,-1.28114
12.6176213333333,-1.29434
12.6184213333333,-1.30756
12.6192213333333,-1.32079
12.6200213333333,-1.33404
12.6208213333333,-1.3473
12.6216213333333,-1.36057
12.6224213333333,-1.37387
12.6232213333333,-1.38718
12.6240213333333,-1.4005
12.6248213333333,-1.41384
12.6256213333333,-1.42719
12.6264213333333,-1.44056
12.6272213333333,-1.45394
12.6280213333333,-1.46734
12.6288213333333,-1.48075
12.6296213333333,-1.49417
12.6304213333333,-1.50761
12.6312213333333,-1.52105
12.6320213333333,-1.53451
12.6328213333333,-1.54799
12.6336213333333,-1.56147
12.6344213333333,-1.57496
12.6352213333333,-1.58846
12.6360213333333,-1.60196
12.6368213333333,-1.61547
12.6376213333333,-1.62898
12.6384213333333,-1.6425
12.6392213333333,-1.65601
12.6400213333333,-1.66951
12.6408213333333,-1.68302
12.6416213333333,-1.69651
12.6424213333333,-1.70999
12.6432213333333,-1.72347
12.6440213333333,-1.73693
12.6448213333333,-1.75038
12.6456213333333,-1.76381
12.6464213333333,-1.77723
12.6472213333333,-1.79064
12.6480213333333,-1.80403
12.6488213333333,-1.81741
12.6496213333333,-1.83078
12.6504213333333,-1.84414
12.6512213333333,-1.85749
12.6520213333333,-1.87084
12.6528213333333,-1.88419
12.6536213333333,-1.89753
12.6544213333333,-1.91089
12.6552213333333,-1.92424
12.6560213333333,-1.93761
12.6568213333333,-1.95099
12.6576213333333,-1.96438
12.6584213333333,-1.97778
12.6592213333333,-1.99121
12.6600213333333,-2.00466
12.6608213333333,-2.01813
12.6616213333333,-2.03164
12.6624213333333,-2.04517
12.6632213333333,-2.05874
12.6640213333333,-2.07234
12.6648213333333,-2.08599
12.6656213333333,-2.09967
12.6664213333333,-2.11339
12.6672213333333,-2.12716
12.6680213333333,-2.14097
12.6688213333333,-2.15483
12.6696213333333,-2.16873
12.6704213333333,-2.18268
12.6712213333333,-2.19667
12.6720213333333,-2.21072
12.6728213333333,-2.22481
12.6736213333333,-2.23895
12.6744213333333,-2.25315
12.6752213333333,-2.26739
12.6760213333333,-2.28169
12.6768213333333,-2.29604
12.6776213333333,-2.31045
12.6784213333333,-2.3249
12.6792213333333,-2.3394
12.6800213333333,-2.35395
12.6808213333333,-2.36854
12.6816213333333,-2.38318
12.6824213333333,-2.39786
12.6832213333333,-2.41257
12.6840213333333,-2.42732
12.6848213333333,-2.4421
12.6856213333333,-2.4569
12.6864213333333,-2.47173
12.6872213333333,-2.48657
12.6880213333333,-2.50143
